Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"USB 3.1 Type-C Female USB Charging Port Module [Panel Mount]","usb c ",2,0.60,"https://makerbazar.in/products/2-4-pin-type-c-female-panel-mount-connector-charging-port?variant=48251032142064","Makebazar"
"Type-C USB Female to DIP PCB Breakout Board","usb c ",2,0.42,"https://makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=48251095941360","Makebazar"
"Type-C USB Female to DIP PCB Breakout Board","usb c ",2,0.42,"https://makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=48251095908592","Makebazar"
"4.7 kOhm resistor","failsafe resistor",20,0.18,"https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1k-to-99kohm?variant=47473065132272","Makebazar"
"4.7 kOhm resistor","for converting usb c to device ",20,0.18,"https://makerbazar.in/products/carbon-film-resistor-dip-1-4-watt-resistance-through-hole-1k-to-99kohm?variant=47248529522928","Makebazar"
